"Ville","Région Belgique","Response","Sandwicherie p1","Distance to Tournai","Distance à Tournai","Distance à Tournai Distance","Write to Other Table"
"Beauwelz","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/","24 km","24 km","Created 10 records in table ""Full_Table"""
"Beclers","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Béclers 37, 7532 Tournai,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Beek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beerlegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beernem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Beerse","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beersel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beerst","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beert","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","0 km","0 km",
"Beervelde","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beerzel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Beez","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue St Nicolas 183, 5000 Namur,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Beffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Eglise 47, 6987 Rendeux,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Begijnendijk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beho","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Beho, 6672 Gouvy,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Beigem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bekegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bekkerzeel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","0 km","0 km",
"Bekkevoort","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Belgrade","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Joseph Abras 86, 5001 Namur,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Bellaire","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Route 591, 4610 Beyne-Heusay,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bellecourt","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de la Hestre 33, 7170 Manage,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bellefontaine(Luxembourg)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Jean-Charles de Hugo 109, 6730 Tintigny,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bellefontaine Namur)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue St Nicolas 183, 5000 Namur,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bellegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bellem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bellevaux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Brienne 14, 6834 Bouillon,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Bellevaux-Ligneuville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Foncenale 1, 4960 Malmedy,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bellingen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beloeil","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Ecoles 1, 7971 Beloeil,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Belsele Sint-Niklaas)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Ben-Ahin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Place 14, 4500 Huy,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bende","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Rue 36, 6940 Durbuy,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Berbroek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Berchem(Antwerpen)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berchem O.-Vl.)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berchem-Sainte-Agathe","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/",,,
"Berendrecht","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berg(Brabant)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berg Limburg)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Bergilers","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Sous la Motte 1, 4360,BEL",,,"Created 10 records in table ""Full_Table"""
"Beringen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berlaar","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berlare","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berlingen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Berloz","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Ecoles 1, 4257 Berloz,BEL",,,"Created 10 records in table ""Full_Table"""
"Berneau","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Warsage 2, 4607 Dalhem,BEL",,,"Created 10 records in table ""Full_Table"""
"Bernissart","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Gare 29A, 7322 Bernissart,BEL",,,"Created 10 records in table ""Full_Table"""
"Bersillies-l'Abbaye","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/6560 Erquelinnes,BEL",,,"Created 2 records in table ""Full_Table"""
"Bertem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Bertogne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 101, 6687,BEL",,,"Created 6 records in table ""Full_Table"""
"Bertrée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Hesbaye 1b, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Bertrix","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Al Paul 4, 6880 Bertrix,BEL",,,"Created 10 records in table ""Full_Table"""
"Berzée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Pont de Bois 11, 5651 Walcourt,BEL",,,"Created 10 records in table ""Full_Table"""
"Beselare","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Betekom","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Bettincourt","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Casino 19, 4300 Waremme,BEL",,,"Created 10 records in table ""Full_Table"""
"Beuzet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Léopold 21, 5030 Gembloux,BEL",,,"Created 10 records in table ""Full_Table"""
"Bevel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Bever","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Bevercé","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Alliés 95, 4960 Malmedy,BEL",,,"Created 10 records in table ""Full_Table"""
"Bevere","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beveren (Leie)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beveren(Roeselare)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beveren-aan-den-Ijzer","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beveren-Waas","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beverlo","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beverst","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Beyne-Heusay","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Route 591, 4610 Beyne-Heusay,BEL",,,"Created 10 records in table ""Full_Table"""
"Bienne-lez-Happart","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Pont 6, 6540 Lobbes,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bierbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Biercée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue 't Serstevens 68, 6530 Thuin,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bierges","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Provinciale 179, 1301 Wavre,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bierghes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Dr Colson 34, 1430 Rebecq,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bierset","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Avenir 7, 4460 Grâce-Hollogne,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Bierwart","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Forge 4, 5380 Fernelmont,BEL","0 km","0 km","Created 9 records in table ""Full_Table"""
"Biesme","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Mont 14, 5640 Mettet,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Biesmerée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 36, 5640 Mettet,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Biesme-sous-Thuin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Rue 121, 6530 Thuin,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Bievene","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Bievre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/70, Rue de Bouillon 5555, 5555 Bièvre,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Biez","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de la Libération 17, 1390 Grez-Doiceau,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bihain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 7, 6690 Vielsalm,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bikschote","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bilstain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Au Pairon 67, 4831 Limbourg,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bilzen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Binche","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Gaieté 18, 7130 Binche,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Binderveld","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Binkom","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","0 km","0 km",
"Bioul","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Vaxelaire 18, 5537 Anhée,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Bissegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bizet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue d'Armentières 371, 7783 Comines-Warneton,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Blaasveld","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Blaimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Bac du Prince 67, 5544 Hastière,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Blandain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Lille 943, 7522 Tournai,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Blanden","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Blankenberge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Blaregnies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Trieux 36, 7040 Quévy,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Blaton","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Blaton 20, 7321 Bernissart,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Blaugies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Frontière 438, 7370 Dour,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Blégny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue sur les Heids 52, 4671 Blegny,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bléharies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Wibault-Bouchart 25, 7620 Brunehaut,BEL","18 km","18 km","Created 7 records in table ""Full_Table"""
"Blehen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bleid","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Fbg d'Arival 25, 6760 Virton,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bleret","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Eloi 53, 4300 Waremme,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Blicquy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 5a, 7904 Leuze-en-Hainaut,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bocholt","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Boechout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Boekhout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Boekhoute","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","0 km","0 km",
"Boëlhe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Boezinge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bogaarden","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Bohan","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Henri de la Lindi 5, 5550 Vresse-sur-Semois,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Boignée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Nivelles 24, 5140 Sombreffe,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Boirs","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Commerce 2, 4690 Bassenge,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bois-de-Lessines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue César Despretz 56, 7860 Lessines,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bois-de-Villers","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Chevauchoir 9, 5170 Profondeville,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bois-d'Haine","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Rêve d'Or 23, 7100 La Louvière,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bois-et-Borsu","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Carr de Villers 2A, 4560 Clavier,BEL","4.380,29 km","4.380,29 km","Created 6 records in table ""Full_Table"""
"Bolinne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 917, 5022 Namur,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Bolland","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Léopold 40, 4650 Herve,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Bomal Brabant)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Ardennes 12, 6941 Durbuy,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bomal-sur-Ourthe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Ardennes 12, 6941 Durbuy,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bombaye","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Pass. d'Eau 1D, 4681 Oupeye,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Bommershoven(Haren)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","0 km","0 km",
"Boncelles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte du Condroz 40, 4000 Seraing,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Boneffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 917, 5022 Namur,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
